Site In;Site Out;tr_type;cap-up-therm;Y_mho_ref_380kV;impedance;length;length_limit_km;Commodity;eff_per_1000km;inv-cost-fix;inv-cost-length;fix-cost-length;var-cost;cap-lo;cap-up;wacc;depreciation;act-lo;act-up;angle-up;PSTmax;eff;inv-cost;fix-cost;inst-cap;idx
CL00;CL01;AC_OHL;2856,0;0,17728731635248074;5,640561437637257;84,16979333354548;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9930063573500831;25250,938000063645;3535,1313200089103;2856,0;1
CL00;CL02;AC_OHL;10088,5;2,8936565485648438;0,3455835145660138;185,8056952670523;inf;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0;0,9846266178753369;73070,38535563028;7803,839201216197;10088,5;2
CL01;CL02;AC_OHL;1806,0;0,17279375146176987;5,787246306885392;248,78986883559892;inf;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0;0,9794691874189978;121568,19900341117;10449,174491095155;1806,0;3
CL00;CL03;AC_OHL;2427,0;0,1940845757188681;5,152392951867036;109,49224544510227;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9909119090305204;32847,67363353068;4598,674308694295;2427,0;4
CL01;CL03;AC_OHL;0,0;;26,767320717471996;89,22440239157332;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9925879316462823;26767,320717471997;3747,4249004460794;0,0;5
CL00;CL05;AC_OHL;2100,0;0,6989511125990648;1,430715227394772;93,53302762246219;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9922313984505748;28059,908286738657;3928,3871601434116;2100,0;6
CL03;CL05;AC_OHL;0,0;;28,11476387189608;93,71587957298694;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9922162705199712;28114,76387189608;3936,0669420654513;0,0;7
CL04;CL05;AC_OHL;8165,0;2,6522837116296265;0,3770335713390089;98,33927139774113;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9918338390636278;29501,78141932234;4130,2493987051275;8165,0;8
CL03;CL06;AC_OHL;6135,0;0,3179484411010006;3,1451640289135323;106,05199448174685;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9911961965113406;31815,598344524053;4454,183768233367;6135,0;9
CL04;CL06;AC_OHL;12564,0;2,839662137476613;0,3521545703632976;92,07195280553368;150,0;Elec;0,92;0;300;42;0;0;inf;0,07;60;0;1;45;0;0,9923522861594941;27621,585841660104;3867,022017832415;12564,0;10
CL05;CL06;AC_OHL;0,0;;47,07395605784881;156,91318685949605;inf;Elec;0,92;-70000;770;42;0;0;inf;0,07;60;0;1;45;0;0,9870015452134271;50823,15388181196;6590,3538480988345;0,0;11
