Country_part;RES;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
CL00_AUT;670000,0317489058;367;15334;0;307;106;63211;0;293;478;20;15849;173;6401;1163;11265;22;22
CL00_HUN;2609,181162714958;0;0;0;0;5;54;0;0;0;0;0;0;82;2;19;0;0
CL01_AUT;259979,7493237257;0;3000;0;106;151;12192;0;0;7;5;10;20;17174;341;9739;0;0
CL01_CZE;4819,38028088212;0;90;0;0;6;185;0;0;1;0;0;0;306;7;104;0;0
CL01_SVK;22,850479125976562;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
CL02_AUT;3062214,7843185365;18;1009;0;38;349;20017;0;4;54;0;166;188;18148;5250;14090;0;0
CL03_AUT;-1,7609609339314475e+40;1243;12229;0;322;22;16908;0;2095;1272;47;42450;252;309;935;5358;3210;285
CL03_CHE;2858,0046575665474;0;6;0;0;0;11;0;0;0;1;10;0;0;6;21;0;0
CL03_DEU;-3,487893637255524e+39;41;58;0;1;0;193;0;11;8;1;167;0;0;0;51;2;0
CL03_ITA;-7,656351886658467e+38;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;19;1
CL03_LIE;570,0871267318726;0;3;0;0;0;3;0;0;0;0;10;0;0;0;0;0;0
CL04_AUT;-1,5312703773316934e+39;373;9221;0;296;43;30079;0;385;423;15;6787;116;185;720;10056;72;2
CL04_DEU;-8,507057651842741e+37;0;54;0;2;0;290;0;3;11;0;88;0;0;11;23;0;0
CL05_AUT;-2,29690556599754e+40;483;2653;0;55;41;17046;0;21;64;5;1972;56;7917;630;21379;13;0
CL05_CZE;302,34614488482475;0;15;0;0;0;70;0;0;0;0;0;0;0;0;8;0;0
CL05_DEU;7230,331292212009;0;16;0;3;0;157;0;0;0;0;0;33;1;32;57;0;0
CL06_AUT;-5,444516897179354e+40;833;2607;0;90;606;20657;1;1;31;1;458;394;33920;2391;4987;0;38
CL06_HUN;161,27606391906738;0;0;0;0;0;0;0;0;0;0;0;0;26;0;3;0;0
CL06_SVK;8170,442730665207;0;1;0;1;0;27;0;0;3;1;0;6;45;8;23;0;0
CL07_AUT;-2,5521172955528224e+39;298;8392;0;82;22;58911;0;62;97;11;2053;63;5546;2372;19776;0;0
CL07_HUN;16,379512786865234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
CL07_ITA;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CL07_SVN;232,3233835697174;0;3;0;0;0;6;0;0;0;0;1;0;15;0;4;0;0
