Country;Sector;Load in MWh
AUT;IND;30635709,537477758
AUT;RES;20882859,41992376
AUT;AGR;1387426,293914799
AUT;COM;16711819,299631866
BEL;IND;40711140,382203616
BEL;RES;20091365,091445517
BEL;AGR;1664288,2142100679
BEL;COM;22755895,16018991
BGR;IND;12533715,125110865
BGR;RES;14726516,991172874
BGR;AGR;304137,53850803926
BGR;COM;11059021,249970147
BIH;IND;4700367,2015985465
BIH;RES;5498873,378051421
BIH;AGR;66595,76235454099
BIH;COM;2099700,007600303
CHE;IND;28066976,062103037
CHE;RES;15806888,644980706
CHE;AGR;0,0
CHE;COM;18187968,7538028
CYP;IND;499109,84389073984
CYP;RES;1654809,3052353694
CYP;AGR;149299,8430463249
CYP;COM;2047280,9633942142
CZE;IND;27641704,721980873
CZE;RES;17152355,23215044
CZE;AGR;1142163,029318455
CZE;COM;17591450,732197836
DEU;IND;234252130,91907942
DEU;RES;133008844,27000917
DEU;AGR;0,0
DEU;COM;153634201,1033945
DNK;IND;9380442,57141621
DNK;RES;11155667,957789987
DNK;AGR;1963727,8136122974
DNK;COM;11119441,357181473
ESP;IND;84392567,39936969
ESP;RES;77625407,39855537
ESP;AGR;6368590,807695522
ESP;COM;80114602,09373914
EST;IND;2453863,7087112735
EST;RES;2017148,9016542411
EST;AGR;230849,35647010172
EST;COM;3228271,1702285414
FIN;IND;40687251,51739274
FIN;RES;22057885,171611413
FIN;AGR;1603820,8708909675
FIN;COM;18149179,53110273
FRA;IND;133382129,17184345
FRA;RES;169027809,14196873
FRA;AGR;9531501,792481452
FRA;COM;161157437,13946614
GBR;IND;107156500,25733627
GBR;RES;124300150,25521983
GBR;AGR;3568103,7349466076
GBR;COM;106858169,70060728
GRC;IND;13098748,09765451
GRC;RES;17978804,305504832
GRC;AGR;2303837,3855842683
GRC;COM;17891919,525363874
HRV;IND;3972733,7079649926
HRV;RES;7113733,854063073
HRV;AGR;70739,59734092023
HRV;COM;6033718,40878118
HUN;IND;18007402,752573702
HUN;RES;12564846,765095782
HUN;AGR;982930,0524134391
HUN;COM;9196719,576640807
IRL;IND;10447884,400299434
IRL;RES;8434381,201136978
IRL;AGR;592833,886008098
IRL;COM;7097217,07157685
ISL;IND;15936817,343581209
ISL;RES;884207,9522838772
ISL;AGR;239024,08958073816
ISL;COM;1257819,4041276535
ITA;IND;128105105,7673666
ITA;RES;75897727,87570177
ITA;AGR;6226374,604628653
ITA;COM;104119274,88317902
LTU;IND;3939639,3658238407
LTU;RES;3103293,767109568
LTU;AGR;219747,83889802793
LTU;COM;3598093,229173591
LUX;IND;3207764,6267113546
LUX;RES;1039087,093088211
LUX;AGR;38320,459834475
LUX;COM;2037298,6962692759
LVA;IND;1936975,9206909805
LVA;RES;1965903,964136304
LVA;AGR;175800,34821471327
LVA;COM;2990767,785809504
MKD;IND;2373758,1268882467
MKD;RES;3718206,8016262236
MKD;AGR;42753,906634588726
MKD;COM;1703406,0112254117
MNE;IND;996012,9111947871
MNE;RES;1604177,8528382855
MNE;AGR;17976,981423035137
MNE;COM;800073,1683188748
NLD;IND;38702573,30991103
NLD;RES;25535911,956485294
NLD;AGR;9552751,845390668
NLD;COM;39458832,81295379
NOR;IND;53546960,745177835
NOR;RES;44524981,13960525
NOR;AGR;2104752,9588335827
NOR;COM;28479474,30800118
POL;IND;60121835,260493256
POL;RES;34367030,03613568
POL;AGR;1810313,225282237
POL;COM;53659143,8029735
PRT;IND;16781056,9123603
PRT;RES;13121320,25039013
PRT;AGR;873503,2783051095
PRT;COM;18155477,110547278
ROU;IND;25720860,12329023
ROU;RES;15085299,72451999
ROU;AGR;1141748,081737868
ROU;COM;10364729,110248191
SRB;IND;11051248,144389233
SRB;RES;20691281,751759075
SRB;AGR;473283,59229504364
SRB;COM;7287964,809134161
SVK;IND;13904089,114983575
SVK;RES;6016152,395582831
SVK;AGR;311411,99952563964
SVK;COM;7977143,873089241
SVN;IND;6733540,6775073
SVN;RES;3470452,0249790307
SVN;AGR;0,0
SVN;COM;3442262,2165586753
SWE;IND;56751752,81614675
SWE;RES;47161584,96457456
SWE;AGR;1399367,1858579412
SWE;COM;30615188,06001144
UKR;IND;2501852,097345476
UKR;RES;1815497,7683546275
UKR;AGR;165808,23587614697
UKR;COM;1072656,1294076832
