Cohort;Name;Site;Type;act-lo-c;act-lo-pi;act-lo-po;act-up-c;act-up-pi;act-up-po;cap-up-c;cap-up-p;ctr;depreciation;discharge;ep-ratio;fix-cost-c;fix-cost-p;init;inst-cap-p;inv-cost-c;inv-cost-p;lifetime;precont;prepowin;prepowout;rd;rdmax;ru;rumax;seasonal;var-cost-c;var-cost-p;var-cost-pi;var-cost-po;wacc;year_mu;year_stdev;eff-in;eff-out;Commodity;inst-cap-c;cap-lo-c;cap-lo-p
1958,0;PumSt_1958;CL02;PumSt;0;0;0;1;1;1;27840,0;232,0;1;60;0;120;0;4.125;0,5;232,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;27840,0;0;0
1972,0;PumSt_1972;CL00;PumSt;0;0;0;1;1;1;27720,0;231,0;1;60;0;120;0;4.125;0,5;231,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;27720,0;0;0
1979,0;PumSt_1979;CL00;PumSt;0;0;0;1;1;1;87600,0;730,0;1;60;0;120;0;4.125;0,5;730,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;87600,0;0;0
1979,0;PumSt_1979;CL02;PumSt;0;0;0;1;1;1;14400,0;120,0;1;60;0;120;0;4.125;0,5;120,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;14400,0;0;0
1981,0;PumSt_1981;CL00;PumSt;0;0;0;1;1;1;34680,0;289,0;1;60;0;120;0;4.125;0,5;289,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;34680,0;0;0
1981,0;PumSt_1981;CL02;PumSt;0;0;0;1;1;1;12960,0;108,0;1;60;0;120;0;4.125;0,5;108,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;12960,0;0;0
1982,0;PumSt_1982;CL02;PumSt;0;0;0;1;1;1;3780,0;31,5;1;60;0;120;0;4.125;0,5;31,5;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;3780,0;0;0
1988,0;PumSt_1988;CL00;PumSt;0;0;0;1;1;1;43200,0;360,0;1;60;0;120;0;4.125;0,5;360,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;43200,0;0;0
1991,0;PumSt_1991;CL00;PumSt;0;0;0;1;1;1;4320,0;36,0;1;60;0;120;0;4.125;0,5;36,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;4320,0;0;0
2004,0;PumSt_2004;CL02;PumSt;0;0;0;1;1;1;840,0;7,0;1;60;0;120;0;4.125;0,5;7,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;840,0;0;0
2009,0;PumSt_2009;CL02;PumSt;0;0;0;1;1;1;63000,0;525,0;1;60;0;120;0;4.125;0,5;525,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;63000,0;0;0
2011,0;PumSt_2011;CL01;PumSt;0;0;0;1;1;1;6000,0;50,0;1;60;0;120;0;4.125;0,5;50,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;6000,0;0;0
2011,0;PumSt_2011;CL02;PumSt;0;0;0;1;1;1;74400,0;620,0;1;60;0;120;0;4.125;0,5;620,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;74400,0;0;0
2012,0;PumSt_2012;CL02;PumSt;0;0;0;1;1;1;23760,0;198,0;1;60;0;120;0;4.125;0,5;198,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;23760,0;0;0
2014,0;PumSt_2014;CL02;PumSt;0;0;0;1;1;1;51600,0;430,0;1;60;0;120;0;4.125;0,5;430,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;51600,0;0;0
2017,0;PumSt_2017;CL02;PumSt;0;0;0;1;1;1;1440,0;12,0;1;60;0;120;0;4.125;0,5;12,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;1440,0;0;0
2018,0;PumSt_2018;CL02;PumSt;0;0;0;1;1;1;43200,0;360,0;1;60;0;120;0;4.125;0,5;360,0;0;275.000;60;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;1980;5,0;0,92;0,92;Elec;43200,0;0;0
2015,0;Battery_2015;CL00;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
2015,0;Battery_2015;CL01;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
2015,0;Battery_2015;CL02;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
2015,0;Battery_2015;CL03;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
2015,0;Battery_2015;CL04;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
2015,0;Battery_2015;CL05;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
2015,0;Battery_2015;CL06;Battery;0;0;0;1;1;1;inf;inf;1;10;0;6;0;9.375;0,5;0,0;687.500;797.500;10;0,5;0;0;0,1;1;0,1;1;0;0;0;0;0;0,07;2015;0,3;0,9;0,9;Elec;0,0;0;0
